Forest height: 1000
Forest width: 1000
Tree spacing: 7
Minimum tree radius: 0
Maximum tree radius: 0
Sampling attempts per tree: 30
Mean of gaussian sampled when applying noise to tree positions: 0
Standard Deviation of gaussian sampled when applying noise to tree positions: 3
Random seed used: None
Number of trees in forest: 13770

RUN COMMAND: ./poisson_disk_sampling run_configs/forest_gen/norad_expr_forest.ini

731.988 939.728 0
733.109 945.078 0
717.343 955.499 0
719.821 948.032 0
712.303 946.771 0
711.774 956.696 0
715.366 967.04 0
727.073 970.956 0
703.617 966.32 0
704.279 945.608 0
709.81 959.907 0
700.993 959.197 0
696.549 948.033 0
733.483 949.847 0
729.063 937.819 0
687.155 957.838 0
702.344 976.028 0
736.154 948.528 0
700.356 950.451 0
690.599 968.781 0
690.638 981.612 0
680.682 972.39 0
684.785 941.158 0
714.292 939.549 0
748.713 946.029 0
697.553 989.145 0
738.908 960.971 0
738.647 937.524 0
688.127 958.11 0
673.024 968.639 0
703.448 984.188 0
737.705 976.284 0
703.433 934.564 0
693.167 935.485 0
751.326 975.879 0
697.23 996.052 0
731.035 956.836 0
702.751 996.778 0
715.337 930.053 0
740.065 952.589 0
704.294 993.353 0
677.959 986.284 0
680.462 933.328 0
695.725 929.175 0
713.138 927.483 0
673.226 954.897 0
740.345 924.34 0
676.228 977.53 0
724.855 924.032 0
721.853 975.32 0
754.69 942.586 0
725.583 921.54 0
726.7 917.042 0
720.868 916.374 0
677.888 940.964 0
710.537 980.747 0
692.844 933.335 0
738.225 916.761 0
729.508 931.518 0
722.922 920.216 0
701.719 925.527 0
718.798 901.397 0
712.259 893.244 0
750.016 921.535 0
731.355 985.77 0
686.32 968.793 0
673.341 931.582 0
748.242 957.102 0
682.321 968.255 0
750.315 964.459 0
708.442 921.299 0
738.803 976.547 0
707.703 910.107 0
739.031 981.179 0
666.306 931.649 0
688.229 926.168 0
708.178 979.032 0
756.554 983.116 0
670.441 942.412 0
739.194 993.074 0
711.039 1002.11 0
760.763 982.778 0
665.711 977.719 0
759.314 951.195 0
684.179 995.592 0
758.283 966.299 0
726.171 982.201 0
661.112 966.371 0
672.28 966.934 0
697.67 912.796 0
746.546 931.161 0
756.336 996.542 0
690.636 915.812 0
716.906 887.738 0
707.555 902.07 0
729.051 993.949 0
745.933 999.568 0
718.702 994.994 0
759.967 975.052 0
695.222 902.943 0
720.071 900.86 0
718.927 877.651 0
776.557 995.537 0
692.874 908.986 0
715.482 992.254 0
747.348 998.825 0
693.671 988.098 0
674.02 923.865 0
747.341 965.921 0
679.746 998.653 0
659.52 929.207 0
745.408 961.728 0
669.834 951.18 0
676.088 978.449 0
740.599 983.236 0
752.404 988.29 0
771.353 982.326 0
680.956 910.827 0
674.521 910.44 0
669.817 914.195 0
671.813 985.453 0
662.409 945.519 0
754.023 981.059 0
656.243 977.895 0
657.98 957.844 0
691.265 896.911 0
767.449 990.528 0
737.261 906.37 0
751.824 922.705 0
756.551 997.403 0
743.241 918.736 0
756.713 934.614 0
751.121 907.391 0
723.25 1001.35 0
674.095 990.257 0
655.571 982.918 0
763.195 930.529 0
702.405 887.504 0
772.435 928.32 0
764.702 954.044 0
704.442 884.846 0
741.514 922.684 0
787.113 983.047 0
668.345 1001.13 0
744.022 910.509 0
711.002 874.867 0
647.519 969.437 0
755.546 926.152 0
727.179 900.463 0
761.01 917.541 0
723.282 898.32 0
651.976 930.063 0
771.54 969.138 0
744.446 903.374 0
650.527 979.772 0
682.523 912.657 0
652.788 911.839 0
784.853 961.755 0
686.11 895.99 0
644.107 964.203 0
656.593 920.612 0
696.309 880.907 0
728.813 887.691 0
757.657 971.332 0
789.893 990.892 0
736.295 904.258 0
648.974 926.408 0
676.349 899.691 0
774.552 912.606 0
653.784 915.354 0
771.077 971.052 0
719.107 881.094 0
796.052 993.994 0
645.782 923.674 0
638.061 957.962 0
647.217 972.095 0
637.861 910.32 0
736.556 876.362 0
665.187 965.457 0
648.727 954.032 0
680.738 888.016 0
723.383 867.798 0
771.961 946.291 0
704.82 894.619 0
659.759 937.615 0
