Forest height: 1000
Forest width: 1000
Tree spacing: 4
Minimum tree radius: 0
Maximum tree radius: 0
Sampling attempts per tree: 30
Mean of gaussian sampled when applying noise to tree positions: 0
Standard Deviation of gaussian sampled when applying noise to tree positions: 2
Random seed used: None
Number of trees in forest: 42011


160.179 750.92 0
170.313 745.973 0
159.451 748.07 0
174.012 748.919 0
162.867 756.246 0
168.488 742.301 0
166.986 750.412 0
165.404 753.878 0
154.438 750.164 0
168.262 761.364 0
153.129 757.8 0
161.268 760.999 0
151.775 748.934 0
169.986 751.44 0
176.429 753.899 0
165.03 768.298 0
161.476 753.596 0
174.694 761.779 0
174.355 757.747 0
157.818 743.014 0
155.774 765.863 0
170.034 767.693 0
161.54 767.928 0
171.441 764.854 0
142.519 756.234 0
151.148 758.367 0
146.184 744.72 0
174.257 741.448 0
150.373 760.308 0
160.921 736.271 0
145.611 755.095 0
147.235 740.395 0
172.707 773.01 0
168.047 768.701 0
169.122 735.106 0
140.949 754.235 0
173.909 741.173 0
178.138 771.859 0
152.485 763.803 0
177.142 740.251 0
148.868 756.069 0
143.775 762.479 0
167.105 778.14 0
151.341 741.587 0
168.867 771.429 0
158.693 769.802 0
149.751 768.992 0
149.04 738.77 0
166.695 759.379 0
174.397 778.49 0
157.731 739.498 0
179.141 774.807 0
177.43 733.044 0
177.407 777.451 0
172.332 763.955 0
139.027 747.09 0
180.952 735.9 0
182.192 765.307 0
159.97 769.121 0
182.829 750.547 0
184.928 745.278 0
175.751 741.693 0
161.667 776.198 0
175.195 733.975 0
146.512 773.206 0
181.856 757.728 0
177.645 779.674 0
185.054 743.23 0
182.456 770.164 0
190.062 734.965 0
168.208 728.401 0
170.345 771.311 0
149.01 774.411 0
135.217 741.592 0
158.372 776.409 0
188.036 750.497 0
145.034 776.782 0
185.376 753.805 0
142.965 770.69 0
151.492 739.719 0
159.818 780.797 0
140.467 732.025 0
142.054 773.385 0
153.376 777.031 0
175.011 745.516 0
183.496 735.134 0
137.656 766.109 0
145.15 778.222 0
178.124 734.555 0
182.788 776.299 0
159.651 731.91 0
159.789 730.054 0
164.904 736.507 0
179.718 727.699 0
168.341 776.544 0
185.905 768.121 0
192.928 743.361 0
129.689 773.783 0
190.34 765.262 0
146.399 782.148 0
188.57 747.883 0
171.959 723.706 0
174.882 724.123 0
137.572 778.623 0
170.828 789.971 0
166.129 786.961 0
135.131 765.487 0
188.414 759.648 0
163.342 779.642 0
151.847 778.981 0
132.842 750.089 0
162.097 738.06 0
155.566 789.42 0
141.501 731.616 0
188.604 768.17 0
159.996 726.182 0
190.32 761.138 0
185.741 774.416 0
176.596 785.831 0
174.584 759.965 0
136.455 744.96 0
132.672 759.378 0
179.708 786.049 0
194.629 767.47 0
182.132 721.995 0
129.959 741.293 0
175.535 723.184 0
126.356 777.067 0
192.079 761.214 0
185.525 731.469 0
178.982 774.781 0
148.759 789.864 0
171.119 790.546 0
189.231 773.406 0
163.021 719.18 0
142.706 787.073 0
162.478 790.173 0
190.695 733.317 0
186.477 756.132 0
140.918 779.749 0
135.548 753.214 0
180.574 719.624 0
195.291 730.517 0
150.016 738.963 0
163.404 714.9 0
137.322 791.784 0
194.973 757.884 0
168.667 789.323 0
129.999 767.223 0
176.344 738.384 0
163.362 739.442 0
176.369 788.527 0
149.795 736.534 0
190.92 746.464 0
198.287 730.274 0
138.87 757.849 0
195.541 771.128 0
145.401 789.733 0
136.324 778.261 0
151 727.178 0
200.074 761.365 0
128.259 779.797 0
135.207 792.571 0
192.187 749.852 0
130.655 755.503 0
148.932 731.268 0
129.264 745.072 0
175.577 793.499 0
172.969 717.244 0
191.359 782.625 0
152.187 725.768 0
181.86 729.495 0
186.619 729.152 0
195.892 723.631 0
146.134 778.807 0
