Forest height: 1000
Forest width: 1000
Tree spacing: 9
Minimum tree radius: 0
Maximum tree radius: 0
Sampling attempts per tree: 30
Mean of gaussian sampled when applying noise to tree positions: 0
Standard Deviation of gaussian sampled when applying noise to tree positions: 3.5
Random seed used: None
Number of trees in forest: 8419


514.241 779.881 0
492.578 800.94 0
521.054 783.749 0
497.177 796.71 0
509.469 805.851 0
501.969 789.791 0
514.504 773.118 0
518.934 813.869 0
527.597 791.852 0
528.857 806.68 0
485.881 800.566 0
485.027 813.99 0
537.695 786.862 0
493.939 815.712 0
516.289 826.564 0
479.288 779.54 0
520.02 790.789 0
504.491 779.278 0
475.114 801.422 0
537.655 822.134 0
542.445 776.331 0
478.199 792.221 0
506.868 793.105 0
526.93 822.199 0
534.038 794.078 0
498.633 815.044 0
552.606 805.116 0
511.02 767.785 0
532.246 803.925 0
463.398 777.758 0
523.449 771.218 0
503.244 813.969 0
498.211 825.628 0
502.441 813.786 0
500.352 763.747 0
545.645 809.638 0
568.656 821.275 0
499.819 746.536 0
477.869 832.236 0
544.601 790.616 0
471.242 820.905 0
562.683 817.426 0
491.578 839.009 0
454.681 816.356 0
486 769.576 0
531.932 823.392 0
550.295 826.404 0
456.426 830.767 0
525.308 831.528 0
507.476 739.672 0
471.204 808.764 0
554.826 792.458 0
465.043 798.112 0
516.04 761.669 0
455.138 782.145 0
529.838 835.373 0
532.056 779.192 0
558.393 815.571 0
454.954 801.052 0
499.353 830.79 0
443.375 784.609 0
441.298 793.723 0
573.502 805.156 0
434.178 805.137 0
445.522 812.214 0
447.339 817.372 0
447.559 802.157 0
508.385 729.174 0
447.713 823.981 0
556.572 834.917 0
478.649 763 0
465.847 852.791 0
571.945 800.251 0
484.015 768.533 0
489.271 753.1 0
545.486 831.037 0
463.518 776.089 0
519.458 736.973 0
415.187 788.541 0
519.815 749.485 0
552.428 855.428 0
512.27 833.653 0
559.51 798.779 0
562.573 858.369 0
529.129 756.213 0
535.043 852.674 0
556.16 768.205 0
504.447 736.835 0
560.866 778.437 0
527.027 750.01 0
499.05 868.958 0
578.177 792.86 0
554.452 835.984 0
552.623 864.15 0
498.346 846.454 0
513.478 733.131 0
417.962 800.532 0
420.686 808.171 0
431.429 774.503 0
497.969 857.15 0
572.494 826.062 0
541.906 833.775 0
510.727 841.012 0
558.54 785.241 0
537.133 854.368 0
408.248 802.74 0
429.133 778.976 0
524.429 867.656 0
593.721 806.855 0
533.566 767.237 0
497.951 733.836 0
491.226 718.044 0
416.966 831.38 0
581.579 793.695 0
596.95 827.562 0
519.45 857.113 0
461.881 791.497 0
572.444 834.485 0
474.449 711.066 0
517.701 721.813 0
531.528 727.325 0
540.469 746.687 0
449.96 768.274 0
553.32 881.206 0
464.362 821.241 0
536.873 755.743 0
408.146 820.065 0
411.764 792.055 0
543.515 845.024 0
400.307 818.627 0
505.678 864.237 0
486.979 839.515 0
582.061 834.54 0
456.845 743.256 0
581.709 773.383 0
489.734 874.29 0
553.313 760.277 0
580.728 819.243 0
583.903 859.541 0
545.705 732.509 0
497.987 883.039 0
415.037 846.174 0
586.676 803.329 0
390.791 826.272 0
452.37 840.681 0
434.38 823.372 0
529.01 857.205 0
519.879 703.827 0
378.61 817.742 0
365.051 825.656 0
574.374 858.239 0
490.29 886.024 0
497.166 902.69 0
562.425 760.074 0
396.505 804.456 0
493.475 753.943 0
475.523 750.828 0
596.989 798.542 0
598.394 818.379 0
444.631 737.393 0
542.301 717.847 0
452.359 736.007 0
574.786 787.844 0
453.825 788.122 0
447.095 769.561 0
494.032 724.364 0
391.898 797.808 0
564.801 865.82 0
539.248 720.562 0
490.504 735.764 0
507.265 845.131 0
476.195 835.666 0
573.179 871.564 0
482.02 708.979 0
442.791 835.679 0
532.744 877.908 0
603.304 836.245 0
572.681 769.599 0
554.61 748.191 0
479.015 722.615 0
482.902 861.222 0
587.756 838.668 0
378.333 818.322 0
468.553 775.713 0
461.183 843.055 0
503.998 892.607 0
513.294 712.331 0
535.971 705.417 0
505.245 911.856 0
398.314 836.575 0
601.578 810.112 0
425.876 835.543 0
547.957 742.448 0
466.606 848.714 0
464.675 752.166 0
609.56 808.949 0
431.251 837.996 0
583.952 841.514 0
503.537 873.957 0
521.462 876.826 0
611.222 821.345 0
560.039 740.456 0
514.736 884.845 0
602.754 811.496 0
593.649 853.395 0
419.807 813.341 0
599.029 852.92 0
490.461 910.568 0
483.937 881.602 0
629.67 819.548 0
393.943 813.264 0
409.269 834.11 0
600.366 791.779 0
554.448 748.492 0
589.323 875.088 0
433.515 774.462 0
580.618 860.152 0
523.287 880.603 0
414.192 847.969 0
571.753 819.175 0
543.803 886.308 0
420.421 848.673 0
410.463 805.526 0
522.53 913.981 0
564.641 892.892 0
370.649 800.793 0
567.309 766.723 0
389.901 838.258 0
389.628 803.573 0
493.552 716.071 0
540.539 905.609 0
399.311 786.056 0
569.186 753.258 0
502.64 700.488 0
608.92 853.822 0
416.631 774.001 0
621.518 798.139 0
442.766 760.185 0
516.652 902.95 0
488.125 694.347 0
421.654 795.54 0
620.525 840.132 0
636.17 786.948 0
626.357 779.728 0
593.802 783.592 0
568.839 779.189 0
413.368 850.83 0
532.834 734.132 0
608.008 854.878 0
605.919 766.007 0
489.526 875.95 0
612.53 801.31 0
595.462 771.042 0
629.717 823.064 0
446.87 861.213 0
572.037 869.597 0
369.26 833.08 0
618.579 787.898 0
400.084 781.097 0
468.159 868.043 0
508.967 709.429 0
542.484 770.713 0
462.44 704.68 0
470.647 882.739 0
485.433 908.914 0
553.69 901.602 0
611.244 862.654 0
579.471 742.638 0
601.12 766.534 0
455.02 848.553 0
592.462 870.72 0
352.654 813.676 0
606.84 778.804 0
423.852 772.398 0
550.729 918.291 0
550.768 730.964 0
569.851 897.816 0
508.272 688.014 0
566.496 844.606 0
479.072 922.075 0
475.3 867.109 0
618.277 873.983 0
463.815 862.174 0
573.745 743.59 0
574.762 883.189 0
380.314 786.326 0
555.619 727.03 0
634.14 768.397 0
575.067 731.117 0
487.299 935.863 0
552.61 894.891 0
446.985 849.561 0
542.595 875.221 0
435.813 855.417 0
464.579 707.486 0
398.922 843.97 0
635.068 827.184 0
359.922 831.084 0
609.376 771.916 0
533.959 873.278 0
624.695 818.873 0
385.066 787.987 0
446.889 756.411 0
536.677 709.371 0
624.586 860.285 0
430.359 751.573 0
458.957 883.868 0
468.982 738.316 0
376.632 782.644 0
639.283 841.038 0
639.695 803.574 0
378.372 857.202 0
585.752 729.06 0
634.762 804.53 0
437.974 747.969 0
449.716 724.614 0
391.152 779.864 0
525.449 695.057 0
583.776 747.056 0
364.206 871.012 0
534.137 900.683 0
381.26 768.183 0
623.729 836.555 0
645.658 814.157 0
608.205 845.18 0
394.951 778.187 0
626.842 849.389 0
427.214 744.831 0
605.407 871.575 0
391.222 829.77 0
576.843 908.857 0
637.851 828.139 0
392.085 854.034 0
590.544 906.093 0
598.03 740.359 0
582.738 757.045 0
648.455 821.781 0
399.499 765.988 0
562.548 716.594 0
565.204 729.468 0
519.887 917.244 0
655.816 812.191 0
598.068 726.984 0
476.114 890.429 0
478.475 911.958 0
364.614 775.615 0
433.482 732.386 0
659.738 811.531 0
581.406 724.248 0
610.276 759.197 0
529.614 697.239 0
496.078 942.466 0
428.521 866.171 0
381.973 841.456 0
631.769 859.679 0
576.111 927.573 0
