Forest height: 1000
Forest width: 1000
Tree spacing: 7
Minimum tree radius: 0
Maximum tree radius: 0
Sampling attempts per tree: 30
Mean of gaussian sampled when applying noise to tree positions: 0
Standard Deviation of gaussian sampled when applying noise to tree positions: 3
Random seed used: None
Number of trees in forest: 13742


691.392 932.67 0
699.217 926.121 0
707.211 926.237 0
682.13 924.203 0
699.639 930.242 0
701.466 920.858 0
703.271 934.779 0
719.105 951.162 0
705.031 942.933 0
710.348 916.828 0
698.019 938.282 0
693.498 942 0
676.228 944.377 0
678.218 924.426 0
692.715 948.4 0
723.736 931.031 0
694.503 918.791 0
702.42 953.374 0
685.963 951.601 0
674.835 934.948 0
713.564 959.056 0
724.257 939.01 0
707.044 923.486 0
697.416 957.957 0
723.372 934.397 0
734.211 918.722 0
714.617 917.563 0
690.883 973.193 0
710.869 947.673 0
671.061 933.844 0
730.503 946.88 0
673.901 943.675 0
715.71 920.084 0
668.331 953.79 0
714.974 902.313 0
693.864 956.076 0
720.324 916.435 0
681.93 957.726 0
736.285 910.513 0
704.631 904.023 0
719.207 909.137 0
672.219 957.521 0
705.065 969.576 0
696.99 978.96 0
685.958 917.898 0
677.801 915.278 0
692.151 957.15 0
721.591 926.886 0
669.332 932.567 0
723.677 950.491 0
711.924 973.113 0
671.542 958.436 0
724.988 906.814 0
699.443 912.476 0
658.22 918.926 0
690.708 908.838 0
723.611 959.943 0
662.062 939.525 0
727.535 895.073 0
701.073 987.819 0
673.174 913.522 0
739.903 913.359 0
658.639 924.308 0
717.672 969.286 0
665.469 907.937 0
672.974 906.574 0
665.091 890.28 0
714.965 892.371 0
689.234 976.115 0
717.014 981.792 0
655.645 908.135 0
735.367 901.104 0
709.709 892.961 0
679.689 985.396 0
679.369 969.983 0
735.22 930.316 0
695.914 981.806 0
705.061 899.682 0
711.693 988.203 0
728.992 986.824 0
717.523 975.795 0
659.317 920.183 0
666.3 969.781 0
652.058 902.779 0
653.142 895.434 0
651.294 916.871 0
655.037 934.753 0
674.375 926.156 0
642.832 908.031 0
683.015 983.669 0
654.749 954.103 0
746.475 910.515 0
659.258 937.356 0
688.597 900.184 0
693.727 982.815 0
660.245 940.617 0
646.218 920.862 0
647.708 936.907 0
664.474 940.285 0
677.605 986.06 0
695.794 997.487 0
724.716 990.857 0
706.894 977.308 0
718.044 905.818 0
707.136 882.46 0
699.415 893.001 0
729.677 957.449 0
662.216 951.46 0
669.121 979.568 0
676.184 894.344 0
732.055 983.855 0
747.92 976.248 0
730.478 900.575 0
738.172 944.881 0
669.596 988.984 0
754.361 940.998 0
729.967 968.345 0
744.117 894.201 0
640.504 946.289 0
734.882 944.939 0
728.5 892.452 0
671.717 987.223 0
734.805 884.027 0
701.933 872.845 0
639.165 929.602 0
711.01 990.684 0
637.778 917.105 0
695.488 879.575 0
666.567 998.541 0
637.57 931.871 0
682.923 1001.77 0
748.924 917 0
718.393 878.632 0
756.952 986.612 0
731.582 874.639 0
714.653 924.229 0
692.788 894.046 0
751.661 880.906 0
631.067 937.454 0
664.581 968.058 0
644.3 938.067 0
747.769 902.871 0
659.668 999.922 0
634.36 947.089 0
749.324 932.147 0
678.46 879.475 0
734.931 967.563 0
755.982 887.491 0
687.776 895.214 0
743.034 990.702 0
743.083 929.922 0
670.219 886.092 0
655.039 891.166 0
716.708 890.156 0
714.064 864.334 0
642.567 895.372 0
691.174 883.37 0
661.519 891.801 0
753.38 915.847 0
656.272 875.723 0
754.577 897.868 0
706.04 862.14 0
660.937 990.19 0
731.323 998.867 0
626.821 924.645 0
631.567 911.19 0
652.938 949.824 0
656.787 983.313 0
647.535 974.216 0
747.12 937.581 0
740.587 962.411 0
757.796 901.241 0
639.042 911.784 0
650.418 984.77 0
653.622 995.145 0
633.093 961.613 0
775.477 903.298 0
755.058 886.869 0
715.522 864.581 0
702.722 866.162 0
743.05 987.977 0
688.917 893.015 0
706.085 1007.67 0
739.236 989.845 0
701.069 888.753 0
686.124 881.481 0
719.15 1001.96 0
724.721 864.575 0
736.079 949.436 0
745.991 972.981 0
