Forest height: 1000
Forest width: 1000
Tree spacing: 3
Minimum tree radius: 0
Maximum tree radius: 0
Sampling attempts per tree: 30
Mean of gaussian sampled when applying noise to tree positions: 0
Standard Deviation of gaussian sampled when applying noise to tree positions: 1
Random seed used: None
Number of trees in forest: 74785


222.956 551.006 0
223.422 546.142 0
223.764 542.787 0
223.522 539.869 0
227.915 536.497 0
230.284 542.575 0
227.679 546.977 0
223.891 556.019 0
228.921 551.347 0
220.258 554.436 0
225.939 544.22 0
225.473 548.742 0
222.008 550.254 0
218.078 548.919 0
222.917 542.158 0
216.582 554.378 0
229.591 546.66 0
219.896 540.399 0
224.018 559.457 0
225.908 566.265 0
237.735 542.314 0
227.681 556.539 0
219.389 556.856 0
223.691 535.082 0
226.123 532.164 0
214.257 556.924 0
212.732 538.551 0
207.787 537.566 0
213.856 533.455 0
227.949 568.45 0
230.502 539.189 0
219.589 562.096 0
232.711 554.953 0
212.806 559.046 0
226.996 563.926 0
233.199 534.67 0
223.781 528.112 0
234.374 538.428 0
217.831 545.249 0
215.962 561.059 0
232.492 530.47 0
215.243 543.976 0
227.241 561.803 0
229.552 527.281 0
229.213 561.749 0
211.108 545.208 0
204.986 534.614 0
234.63 546.67 0
209.554 563.619 0
241.067 540.561 0
234.811 525.144 0
225.126 524.824 0
219.99 538.353 0
236.09 535.681 0
215.566 551.803 0
223.987 528.956 0
220.762 569.294 0
236.323 533.712 0
234.101 529.467 0
234.084 551.773 0
229.386 558.129 0
242.453 530.962 0
245.742 533.031 0
215.539 563.344 0
222.039 528.79 0
239.078 536.026 0
246.774 539.973 0
217.544 557.977 0
239.979 528.899 0
209.168 542.735 0
212.429 566.475 0
208.655 561.232 0
210.74 558.643 0
238.559 526.244 0
208.69 534.262 0
219.456 565.777 0
211.197 546.917 0
244.027 536.046 0
219.673 531.048 0
238.908 524.232 0
216.783 535.65 0
218.074 569.189 0
212.699 536.888 0
216.958 539.674 0
236.406 557.744 0
239.764 545.747 0
245.069 530.91 0
241.927 525.763 0
207.582 555.493 0
243.864 523.882 0
234.859 549.461 0
225.684 535.465 0
227.676 523.944 0
228.801 546.475 0
251.305 529.819 0
210.338 566.194 0
216.949 525.268 0
221.761 534.985 0
231.672 562.705 0
230.491 550.414 0
212.154 533.21 0
201.991 539.282 0
234.969 559.969 0
242.18 559.399 0
245.263 543.059 0
238.195 546.617 0
236.751 554.041 0
246.947 535.758 0
227.948 531.494 0
209.966 530.61 0
213.515 525.801 0
233.011 518.915 0
209.583 526.609 0
228.983 573.353 0
211.726 550.823 0
249.556 543.393 0
240.936 550.632 0
250.462 557.732 0
237.495 561.127 0
253.568 527.515 0
212.865 521.383 0
231.824 567.405 0
212.937 527.047 0
241.206 551.84 0
248.956 561.162 0
242.456 547.043 0
220.573 523.048 0
239.356 555.458 0
217.792 519.372 0
238.938 559.313 0
206.982 523.402 0
230.667 570.664 0
234.757 577.728 0
235.085 565.812 0
252.322 549.296 0
207.423 551.668 0
234.582 579.685 0
248.988 545.607 0
208.075 543.572 0
247.752 552.927 0
220.844 519.468 0
226.35 522.044 0
235.143 569.768 0
208.738 569.025 0
206.637 559.68 0
238.436 570.673 0
244.483 519.359 0
249.995 552.919 0
245.253 557.109 0
206.195 554.562 0
205.52 537.223 0
245.576 548.27 0
211.548 550.847 0
199.728 541.788 0
199.343 538.722 0
207.265 546.25 0
206.07 521.423 0
224.07 572.671 0
204.401 572.541 0
205.645 565.334 0
204.664 560.746 0
232.296 516.255 0
230.528 582.965 0
197.439 559.975 0
228.195 573.945 0
253.893 531.917 0
198.492 563.478 0
204.026 551.533 0
203.008 546.289 0
257.857 527.556 0
252.646 559.195 0
235.679 520.663 0
247.293 553.921 0
204.18 565.372 0
253.697 547.302 0
230.102 578.07 0
224.589 585.587 0
255.739 551.707 0
199.869 553.859 0
204.136 557.663 0
242.273 565.249 0
241.137 564.397 0
202.574 550.985 0
253.12 520.642 0
254.375 538.255 0
244.476 561.042 0
205.328 526.207 0
213.835 517.712 0
251.096 540.314 0
208.688 577.436 0
237.78 575.293 0
223.112 575.55 0
203.442 530.489 0
242.841 516.736 0
201.291 563.229 0
206.606 567.881 0
210.667 575.993 0
223.823 516.518 0
228.346 518.01 0
251.466 517.511 0
249.133 565.699 0
203.034 530.127 0
199.442 534.698 0
201.552 535.374 0
202.946 526.628 0
213.276 568.563 0
252.224 537.842 0
237.425 573.509 0
207.91 519.335 0
198.373 541.882 0
243.101 570.468 0
221.677 580.887 0
