Forest height: 1000
Forest width: 1000
Tree spacing: 11
Minimum tree radius: 0
Maximum tree radius: 0
Sampling attempts per tree: 30
Mean of gaussian sampled when applying noise to tree positions: 0
Standard Deviation of gaussian sampled when applying noise to tree positions: 4.5
Random seed used: None
Number of trees in forest: 5608


960.628 337.351 0
942.769 331.075 0
928.375 310.81 0
945.412 313.408 0
968.993 317.337 0
915.797 303.879 0
972.588 299.498 0
926.732 346.728 0
943.541 346.87 0
967.299 300.995 0
980.493 330.161 0
961.088 290.282 0
985.758 317.841 0
956.414 362.177 0
943.157 311.233 0
984.735 356.872 0
996.215 332.131 0
919.877 294.546 0
967.89 290.993 0
999.869 322.587 0
945.752 291.424 0
926.964 319.476 0
1005.84 364.269 0
954.762 329.03 0
933.175 287.382 0
980.668 313.265 0
909.192 292.339 0
954.024 295.887 0
918.058 321.146 0
925.103 366.612 0
976.95 281.009 0
985.817 285.576 0
993.587 365.85 0
968.436 349.221 0
937.394 270.432 0
933.684 294.097 0
959.907 375.139 0
967.855 332.821 0
927.595 261.664 0
902.521 358.847 0
975.641 367.276 0
945.451 378.475 0
934.091 375.08 0
954.469 330.864 0
905.953 346.376 0
1006.54 304.378 0
984.92 272.649 0
994.466 375.757 0
896.681 344.285 0
965.943 390.994 0
919.206 383.579 0
927.401 342.799 0
949.225 279.714 0
987.239 254.139 0
982.886 398.595 0
943.212 262.671 0
996.931 399.368 0
921.877 270.903 0
928.929 336.671 0
941.784 274.364 0
962.597 356.852 0
929.916 393.353 0
912.815 262.054 0
991.741 264.598 0
977.026 393.383 0
972.618 257.131 0
958.882 264.882 0
943.071 399.355 0
909.449 372.941 0
978.961 407.59 0
969.664 264.845 0
895.883 364.979 0
892.434 334.108 0
969.27 428.813 0
921.464 359.289 0
971.441 233.292 0
938.63 232.815 0
896.319 373.416 0
993.859 342.329 0
986.207 247.417 0
923.565 411.563 0
871.313 352.319 0
956.032 253.796 0
964.992 401.877 0
981.46 232.888 0
971.651 415.975 0
942.75 378.365 0
995.322 412.288 0
908.882 252.481 0
917.644 373.967 0
969.94 348.333 0
905.62 287.317 0
992.058 289.064 0
933.461 233.239 0
879.363 334.521 0
910.556 332.854 0
888.076 392.649 0
963.368 249.284 0
894.744 370.801 0
931.378 256.431 0
881.63 368.096 0
949.636 220.097 0
883.899 325.657 0
897.456 298.73 0
925.576 250.354 0
994.24 254.631 0
876.237 312.742 0
969.82 235.328 0
904.373 332.318 0
997.567 234.087 0
1000.75 429.547 0
923.387 404.025 0
887.768 305.276 0
918.242 250.343 0
990.02 223.448 0
886.487 318.631 0
921.111 389.557 0
933.479 215.715 0
878.315 278.903 0
913.802 256.625 0
884.849 258.802 0
876.056 303.87 0
895.733 310.961 0
902.908 239.104 0
988.15 235.955 0
894.908 265.825 0
966.599 218.62 0
873.706 273.575 0
910.059 396.957 0
999.149 216.215 0
920.325 399.324 0
959.229 234.12 0
990.67 432.931 0
874.739 395.438 0
925.261 242.527 0
921.315 216.88 0
860.156 361.761 0
933.113 199.31 0
932.377 411.345 0
925.504 206.568 0
866.27 261.278 0
919.144 196.065 0
907.19 228.964 0
877.734 248.028 0
883.547 363.095 0
868.496 338.744 0
916.6 175.817 0
874.385 402.579 0
957.02 415.255 0
865.748 397.449 0
921.858 181.367 0
978.846 419.358 0
860.49 340.019 0
985.399 196.415 0
975.285 194.848 0
952.012 202.137 0
930.848 185.451 0
964.294 211.442 0
866.142 248.182 0
992.74 186.159 0
865.898 409.94 0
858.882 353.765 0
939.553 203.989 0
956.141 192.096 0
883.636 216.839 0
900.66 405.264 0
929.141 430.101 0
937.04 165.05 0
984.828 214.896 0
990.89 194.725 0
1003.37 201.571 0
916.319 174.911 0
889.051 185.933 0
865.216 284.347 0
866.711 330.449 0
862.994 255.899 0
939.088 432.88 0
883.924 381.149 0
961.069 424.09 0
973.816 205.098 0
898.547 418.644 0
921.782 217.118 0
889.384 407.521 0
926.507 169.531 0
877.923 220.176 0
899.668 235.177 0
921.808 423.396 0
858.041 378.249 0
898.571 440.394 0
859.88 228.509 0
900.336 416.757 0
858.308 265.68 0
908.206 432.308 0
874.359 231.366 0
848.809 355.692 0
890.215 214.97 0
863.616 217.356 0
970.305 445.354 0
962.618 187.928 0
864.928 289.731 0
878.191 423.262 0
998.257 183.31 0
844.639 384.108 0
966.848 177.808 0
874.874 454.097 0
895.373 194.983 0
840.153 404.345 0
845.37 234.237 0
948.263 179.929 0
911.78 445.443 0
854.721 280.693 0
870.271 312.66 0
976.768 183.388 0
948.206 159.586 0
840.033 267.129 0
870.61 378.809 0
921.95 152.26 0
952.867 163.6 0
840.039 291.332 0
869.114 292.414 0
966.678 166.778 0
844.498 301.626 0
989.553 462.325 0
855.778 318.239 0
918.624 220.93 0
900.896 146.067 0
949.269 133.013 0
961.589 444.124 0
978.711 468.111 0
861.429 234.529 0
991.338 166.47 0
901.135 160.724 0
855.989 208.296 0
922.615 156.129 0
888.551 188.374 0
928.52 444.756 0
837.905 378.482 0
875.696 208.59 0
846.869 310.992 0
855.411 324.6 0
919.414 126.688 0
908.814 447.465 0
846.364 214.975 0
844.475 423.154 0
884.466 145.539 0
862.199 345.184 0
843.725 428.554 0
848.587 319.748 0
936.811 439.049 0
890.986 297.374 0
830.04 309.991 0
835.554 259.318 0
947.021 456.37 0
947.112 426.114 0
903.361 129.768 0
959.037 449.781 0
873.866 199.309 0
848.032 347.765 0
846.502 389.393 0
919.862 145.122 0
884.586 192.162 0
834.332 252.334 0
916.292 465.733 0
830.859 406.716 0
867.43 451.568 0
839.715 234.488 0
875.127 435.707 0
971.636 158.263 0
974.605 480.985 0
837.249 344.517 0
935.943 128.775 0
963.651 126.326 0
842.582 234.878 0
995.717 449.623 0
897.136 137.658 0
825.125 411.535 0
945.743 443.055 0
838.439 221.491 0
835.515 267.213 0
974.271 455.18 0
856.837 428.119 0
821.967 237.172 0
864.672 429.443 0
894.966 157.993 0
975.971 502.753 0
846.295 432.934 0
863.966 189.844 0
832.596 323.842 0
949.148 469.52 0
920.813 469.718 0
822.56 211.75 0
956.418 154.693 0
937.255 144.497 0
844.182 402.269 0
876.887 125.823 0
972.911 478.289 0
990.447 139.929 0
933.869 478.042 0
927.319 123.119 0
822.329 353.325 0
875.075 172.314 0
816.175 214.077 0
906.084 449.947 0
802.368 415.469 0
867.821 184.702 0
888.955 458.891 0
864.355 441.386 0
958.55 462.891 0
981.04 163.578 0
944.294 126.18 0
859.752 167.618 0
825.785 402.822 0
857.649 452.15 0
824.38 276.93 0
985.545 147.718 0
